category,summaryId,activityId,activityName,durationInSeconds,startTimeInSeconds,startTimeOffsetInSeconds,activityType,averageBikeCadenceInRoundsPerMinute,averageHeartRateInBeatsPerMinute,averageSpeedInMetersPerSecond,averagePaceInMinutesPerKilometer,activeKilocalories,deviceName,distanceInMeters,maxBikeCadenceInRoundsPerMinute,maxHeartRateInBeatsPerMinute,maxPaceInMinutesPerKilometer,maxSpeedInMetersPerSecond,startingLatitudeInDegree,startingLongitudeInDegree,totalElevationGainInMeters,totalElevationLossInMeters,isWebUpload,steps,averageRunCadenceInStepsPerMinute,maxRunCadenceInStepsPerMinute
activities,17955745475,17955745475,Embrach Cycling,7265,1736412949,3600,CYCLING,92.0,129,8.349,1.996247,1577,Edge 520 Plus,60660.44,121.0,147,1.0312893,16.161,47.50164572149515,8.599435687065125,565.0,498.0,False,,,
activities,17959563500,17959563500,Strength,4541,1736446858,3600,STRENGTH_TRAINING,,86,,,385,Forerunner 255 Music,,,124,,,,,,,False,494.0,,
activities,17962235358,17962235358,Embrach Running,2104,1736487062,3600,RUNNING,,137,3.335,4.9975014,551,Forerunner 255 Music,7017.85,,156,4.232267,3.938,47.504870323464274,8.602846199646592,39.0,26.0,False,5834.0,165.90625,181.0
